country,Code,year,Mortality_rate,GDP,Adolescent_fertility_rate,happiness_level
Libya,LBY,2020,1.110000038,50357312595,7.011,Level：3
Lithuania,LTU,2020,0.329999995,56846622904,10.368,Level：1
Luxembourg,LUX,2020,0.279999995,73992591285,4.298,Level：1
Madagascar,MDG,2020,5.020000076,13051441059,121.319,Level：5
Malawi,MWI,2020,3.859999847,12182348213,119.484,Level：4
Malaysia,MYS,2020,0.860000038,3.37E+11,9.315,Level：2
Maldives,MDV,2020,0.65,3746321936,7.62,Level：2
Mali,MLI,2020,9.1,17465392916,152.159,Level：5
Malta,MLT,2020,0.65,14933066819,11.429,Level：2
Marshall Islands,MHL,2020,3.070000076,241722400,60.315,Level：4
Mauritania,MRT,2020,7.069999695,8405491202,78.855,Level：5
Mauritius,MUS,2020,1.65,11401050655,24.551,Level：3
Mexico,MEX,2020,1.369999981,1.09E+12,57.865,Level：3
Micronesia (country),FSM,2020,2.470000076,408000000,36.125,Level：4
Moldova,MDA,2020,1.45,11859730544,27.354,Level：3
Monaco,MCO,2020,0.3,6739691605,7.175,Level：1
Mongolia,MNG,2020,1.539999962,13312981595,27.774,Level：3
Montenegro,MNE,2020,0.24000001,4769860741,10.383,Level：1
Morocco,MAR,2020,1.870000076,1.21E+11,26.446,Level：3
Mozambique,MOZ,2020,7.059999847,14028811072,168.074,Level：5
Myanmar,MMR,2020,4.370000076,78930257227,33.089,Level：4
Namibia,NAM,2020,4.020000076,10581585630,65.67,Level：4
Nauru,NRU,2020,2.85,114626626,74.078,Level：4
Nepal,NPL,2020,2.820000076,33433670512,64.938,Level：4
Netherlands,NLD,2020,0.419999981,9.10E+11,2.613,Level：1
New Zealand,NZL,2020,0.469999981,2.12E+11,12.853,Level：1
Nicaragua,NIC,2020,1.6,12586970511,87.361,Level：3
Niger,NER,2020,7.75,13744174690,172.925,Level：5
Nigeria,NGA,2020,11.38000031,4.32E+11,102.215,Level：6
North Korea,PRK,2020,1.65,,2.245,Level：3
North Macedonia,MKD,2020,0.59000001,12363580535,16.101,Level：2
Norway,NOR,2020,0.220000005,3.62E+11,2.313,Level：1
Oman,OMN,2020,1.1,75909397659,10.306,Level：3
Pakistan,PAK,2020,6.519999695,3.00E+11,43.213,Level：5
Palau,PLW,2020,1.689999962,251900000,42.844,Level：3
Palestine,PSE,2020,1.65,15531700000,44.531,Level：3
Panama,PAN,2020,1.430000019,53977000000,70.838,Level：3
Papua New Guinea,PNG,2020,4.390000153,23848265896,56.415,Level：4
Paraguay,PRY,2020,1.889999962,35432178068,71.302,Level：3
Peru,PER,2020,1.280000019,2.02E+11,58.053,Level：3
Philippines,PHL,2020,2.639999962,3.62E+11,49.156,Level：4
Poland,POL,2020,0.44000001,5.99E+11,9.743,Level：1
Portugal,PRT,2020,0.329999995,2.29E+11,7.597,Level：1
Qatar,QAT,2020,0.580000019,1.44E+11,7.696,Level：2
Romania,ROU,2020,0.69000001,2.51E+11,36.763,Level：2
Russia,RUS,2020,0.54000001,1.49E+12,14.833,Level：2
Rwanda,RWA,2020,4.05,10184345442,32.333,Level：4
Saint Kitts and Nevis,KNA,2020,1.5,884525926,39.388,Level：3
Saint Lucia,LCA,2020,2.439999962,1516015719,37.408,Level：4
Saint Vincent and the Grenadines,VCT,2020,1.410000038,872134556,48.417,Level：3
Samoa,WSM,2020,1.7,868904478,44.192,Level：3
San Marino,SMR,2020,0.179999995,1541204338,3.655,Level：1
Sao Tome and Principe,STP,2020,1.610000038,472551023,81.252,Level：3
Saudi Arabia,SAU,2020,0.7,7.03E+11,12.032,Level：2
Senegal,SEN,2020,3.809999847,24493157583,67.617,Level：4
Serbia,SRB,2020,0.55999999,53356480454,14.5,Level：2
Seychelles,SYC,2020,1.389999962,1261198524,54.356,Level：3
Sierra Leone,SLE,2020,10.78000031,4063289450,103.487,Level：6
Singapore,SGP,2020,0.220000005,3.45E+11,2.599,Level：1
Slovakia,SVK,2020,0.580000019,1.07E+11,26.347,Level：2
